Category,Subcategory,Product Title,Price,Rating,Reviews,Product URL
Electronics,MOUSE,"ZEBRONICS PHERO Wired Gaming Mouse with up to 1600 DPI, Rainbow LED Lights, DPI Switch, High Precision, Plug & Play, 4 Buttons",199,4.0,2,https://www.amazon.in/ZEBRONICS-Gaming-Rainbow-Precision-Buttons/dp/B0CG13FJ5M/ref=sr_1_6
Electronics,MOUSE,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows.",172.,4.3,1,https://www.amazon.in/Redgear-Gaming-Mouse-Upto-2400/dp/B08372ZPVS/ref=sr_1_7
Electronics,MOUSE,EvoFox Starter Series Spectre USB Wired Gaming Mouse | Upto 3600 DPI Gaming Sensor | 6 Buttons | Upto 7 Million Clicks | 7 Colours Rainbow Lighting with Breathing Effect | 1.5m Braided Cable (White),379,4.4,1,https://www.amazon.in/EvoFox-Spectre-Lighting-Breathing-White/dp/B0DGVH47HW/ref=sr_1_8
Electronics,MOUSE,"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",549,4.3,5,https://www.amazon.in/Portronics-Wireless-Bluetooth-Connectivity-Rechargeable/dp/B0BG8LZNYL/ref=sr_1_9
Electronics,MOUSE,"ZEBRONICS Blanc Slim Wireless Mouse with Rechargeable Battery, BT + 2.4GHz, 4 Buttons, 800/1200/1600 DPI, Silent Operation, Multicolor LED Lights",392,4.0,5,https://www.amazon.in/ZEBRONICS-Launched-Rechargeable-Operation-Multicolor/dp/B0CQRNWJM2/ref=sr_1_10
Electronics,MOUSE,"Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop",495,4.1,5,https://www.amazon.in/Logitech-Wireless-Receiver-Ambidextrous-Compatible/dp/B0D18192T2/ref=sr_1_13
Electronics,MOUSE,EvoFox Blaze Ultra Value 8 Button Programmable Gaming Mouse with 1000Hz Polling Rate | Gaming Grade DPI 200 to 12800 | Ultra-Responsive 7000fps | RGB Lights with Music sync Mode | Windows Software,583,4.4,1,https://www.amazon.in/EvoFox-Blaze-Programmable-Ultra-Responsive-Sensitive/dp/B0D66VB4TH/ref=sr_1_14
Electronics,MOUSE,"Arctic Fox Pureview Transparent Wireless and Bluetooth Rechargeable Mouse, USB Receiver,LED Battery Magic Silm for Office/PC/Mac/Laptop/Apple/ipad(Space Gray)",649,4.4,4,https://www.amazon.in/Arctic-Fox-Transparent-Bluetooth-Rechargeable/dp/B0CP9NSXYJ/ref=sr_1_15
Electronics,MOUSE,EvoFox Starter Series Spectre USB Wired Gaming Mouse with Upto 3600 DPI Gaming Sensor | 6 Buttons Design | Upto 7 Million Clicks | 7 Colours Rainbow Lighting with Breathing Effect | 1.5m Braided Cable (Black),379,4.4,2,https://www.amazon.in/EvoFox-Spectre-Buttons-Lighting-Breathing/dp/B0CNQ75PC8/ref=sr_1_16
Electronics,MOUSE,"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",117,3.9,500,https://www.amazon.in/Zebronics-Zeb-Power-Wired-Mouse-Black/dp/B07L9FW9GF/ref=sr_1_17
